-39539626,11.2
-5445204#2,13.7
-5445204#1,17.8
113939244#2,21.8
-126606716,33.7
23339459,45.7
30405358#1,69.5
85355912,73.4
85355911#0,75.0
85355911#1,75.4
30405356,75.7
5931612,76.3
30350450#0,78.9
30350450#1,83.9
30350450#2,87.2
4006702#0,89.3
4006702#1,93.2
4900043,101
4900041#1,102.8
